beer_beerid,beer_style,styles,beer_name
3,13,American IPA,Cactus Queen IPA
88,13,American IPA,Stone IPA (India Pale Ale)
120,13,American IPA,Pick Axe IPA
205,13,American IPA,Snake Dog IPA
311,13,American IPA,Harpoon IPA
361,13,American IPA,Brutal Bitter Ale
390,13,American IPA,India'n Pale Ale
488,13,American IPA,India Pale Ale (IPA)
505,13,American IPA,Big Man Ale
516,13,American IPA,Thetford IPA
552,13,American IPA,Back Bay IPA
611,13,American IPA,Hop Ottin' IPA
709,13,American IPA,Big Eye IPA
829,13,American IPA,Jamaica Sunset India Pale Ale
942,13,American IPA,Full Sail IPA
949,13,American IPA,Bhagwan's Best IPA
960,13,American IPA,Pike India Pale Ale
996,13,American IPA,India Pale Ale
1036,13,American IPA,Plainsman IPA
1058,13,American IPA,Fish On! IPA
1093,13,American IPA,Two Hearted Ale
1095,13,American IPA,India Pale Ale
1102,13,American IPA,Fairweather IPA
1142,13,American IPA,Mill City IPA
1181,13,American IPA,Woodstock IPA
1464,13,American IPA,Saranac India Pale Ale
1472,13,American IPA,Big Daddy IPA
1483,13,American IPA,Hops Infusion
1493,13,American IPA,Sweetwater IPA
1551,13,American IPA,Stoudt's Y2K I.P.A.
1570,13,American IPA,IPA
1589,13,American IPA,Professor Gesser's Mind Numbing Ale
1638,13,American IPA,India Pale Ale
1670,13,American IPA,Indica India Pale Ale
1756,13,American IPA,Willimantic Most Wanted IPA
1759,13,American IPA,Willimantic Commemorative IPA
1870,13,American IPA,Carrabassett India Pale Ale
1904,13,American IPA,Sierra Nevada Celebration Ale
1956,13,American IPA,Hop Hearty Ale
1965,13,American IPA,Heavy Handed IPA
1978,13,American IPA,Robinson's English Ale
2202,13,American IPA,Willimantic Glacier IPA
2225,13,American IPA,Hop Goblin
2312,13,American IPA,Inferno Pod Ale
2314,13,American IPA,Greene's Gargoyle IPA
2328,13,American IPA,Colorado Brewing Hat Trick IPA
2342,13,American IPA,Heartland Brewery Indiana Pale Ale
2381,13,American IPA,Christmas Ale
2471,13,American IPA,India Pale Ale
2531,13,American IPA,IPA
2540,13,American IPA,Bombay Bomber India Pale Ale
2598,13,American IPA,Four Towers IPA
2609,13,American IPA,Willimantic Junk Mail IPA
2612,13,American IPA,IPA
